PriceUpdateDate;ItemCode;ItemType;ItemName;ManufacturerName;ManufactureCountry;ManufacturerItemDescription;UnitQty;Quantity;bIsWeighted;UnitOfMeasure;QtyInPackage;ItemPrice;UnitOfMeasurePrice;AllowDiscount;ItemStatus
2017-02-07 14:12;11210000094;1;"רוטב טבסקו 60 מ""ל";ניצן;US;רוטב טבסקו;מיליליטרים;60.00;0;"100 מ""ל";0;10.90;18.17;1;1
2019-12-29 06:52;12300103138;1;כאמל צהוב בוקס פקט;jti;CH;כאמל בוקס חביל;יחידה;1.00;0;יחידה;0;299.90;299.90;0;1
2017-12-08 08:59;12300119139;1;וינסטון כחול בוקס פקט;jti;CH;וינסטון בוקס;יחידה;1.00;0;יחידה;0;299.90;299.90;0;1
2018-07-10 08:37;16000423534;1;קראנצי שיבולת ושוקולד5יח;ג'נרל מילס;ES;חטיף נייצ'ר ואלי;גרמים;210.00;0;100 גרם;0;19.90;9.48;1;1
2018-07-10 08:37;16000548404;1;חטיף נייטשר ואלי ש.שועל5;ג'נרל מילס;ES;חטיף נייטשר ואלי;גרמים;210.00;0;100 גרם;0;19.90;9.48;1;1
2018-07-10 08:37;16000548503;1;נייטשר וואלי מייפל 5יח;ג'נרל מילס;ES;חטיף נייטשר ואלי;גרמים;210.00;0;100 גרם;0;19.90;9.48;1;1
2017-01-02 17:28;18000701223;1;תערובת לעוגת שוקולד500גר;ג'נרל מילס;IL;תערובת לעוגה;גרמים;500.00;0;100 גרם;0;17.90;3.58;1;1
2017-01-02 17:28;18000703494;1;תערובת לעוגת וניל 500גרם;ג'נרל מילס;IL;תערובת לעוגה;גרמים;500.00;0;100 גרם;0;17.90;3.58;1;1
2018-03-06 11:28;22200956932;1;ספיד סטיק ג'ל 24/7 כחול;קולגייט פלמוליב;US;דאודורנט ג'ל;גרמים;85.00;0;100 גרם;0;19.90;23.41;1;1
2018-03-06 11:28;22200956949;1;ספיד סטיק ג'ל24/7- כתום;קולגייט פלמוליב;US;דאודורנט;גרמים;85.00;0;100 גרם;0;19.90;23.41;1;1
2020-02-11 05:45;25675120020;1;םרג 100 לטפ םעטב םיצוצמח;ירוג;NL;חמצוצים פטל;גרמים;100.00;0;100 גרם;0;7.90;7.90;1;1
2020-02-11 05:45;25675120037;1;םרג 100 תות םעטב םיצוצמח;ירוג;NL;חמצוצים תות;גרמים;100.00;0;100 גרם;0;7.90;7.90;1;1
