barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
11210000094,"רוטב טבסקו 60 מ""ל",758,רוטב טבסקו,מיליליטרים,60,0,0,10.9,79
12300103138,כאמל צהוב בוקס פקט,151,כאמל בוקס חביל,יחידה,1,0,0,299.9,76
12300119139,וינסטון כחול בוקס פקט,151,וינסטון בוקס,יחידה,1,0,0,299.9,46
16000423534,קראנצי שיבולת ושוקולד5יח,375,חטיף נייצ'ר ואלי,גרמים,210,0,0,19.9,1
16000548404,חטיף נייטשר ואלי ש.שועל5,375,חטיף נייטשר ואלי,גרמים,210,0,0,19.9,67
16000548503,נייטשר וואלי מייפל 5יח,375,חטיף נייטשר ואלי,גרמים,210,0,0,19.9,31
18000701223,תערובת לעוגת שוקולד500גר,375,תערובת לעוגה,גרמים,500,0,0,17.9,57
18000703494,תערובת לעוגת וניל 500גרם,375,תערובת לעוגה,גרמים,500,0,0,17.9,90
22200956932,ספיד סטיק ג'ל 24/7 כחול,940,דאודורנט ג'ל,גרמים,85,0,0,19.9,80
22200956949,ספיד סטיק ג'ל24/7- כתום,940,דאודורנט,גרמים,85,0,0,19.9,32
25675120020,םרג 100 לטפ םעטב םיצוצמח,602,חמצוצים פטל,גרמים,100,0,0,7.9,20
25675120037,םרג 100 תות םעטב םיצוצמח,602,חמצוצים תות,גרמים,100,0,0,7.9,5
25675120068,םרג100 הלוק םעטב םיצוצמח,602,חמצוצים קולה,גרמים,100,0,0,7.9,66
25700005681,זיפלוק שקיות בינוניות20י,96,שקיות אחסון,יחידה,1,0,1,15.9,13
30000315958,קוואקר חלבון בננ.אגוז366,937,קוואקר פרוטאין,גרמים,366,0,1,21.3,70
3014260022730,2מברשות אדוונטג' מדיום40,172,זוג מברשות,יחידה,1,0,0,18.9,10
3014260262693,מכשיר גילוח ונוס2+סכינים,895,מכשיר גילוח ונוס,יחידה,1,0,0,38.3,40
3045140105502,שוקולד חלב מילקה 100 גרם,666,שוקולד חלב מילקה,גרמים,100,0,0,6.9,72
3045140280902,שוק.מילקה אגוז/צימוק100ג,666,שוקולד מילקה,גרמים,100,0,0,6.9,39
3046920028004,שוק.מריר לינדט 70% 100ג,623,שוקולד אקסלנס,גרמים,100,0,0,14.9,82
3046920028363,שוק.מריר לינדט 85% 100ג,623,שוקולד לינדט 85%,גרמים,100,0,0,14.9,92
3046920028752,שוק.מריר לינדט מנטה 100ג,623,שוקולד לינדט,גרמים,100,0,0,14.9,14
3046920029681,שוק.מילד 85% אקסלנס100גר,623,שוקולד אקסלנס,גרמים,100,0,1,14.9,94
3046920029759,שוק.מריר לינדט 90% 100ג,624,שוקולד אקסלנס,גרמים,100,0,1,14.9,28
305213079004,קרם גוף וזלין להזנה 600,558,קרם גוף ואלין,מיליליטרים,600,0,1,19.9,59
3059943015104,מטהר נטול גז יסמין345מל,1003,אירוויק מבשם,מיליליטרים,345,0,0,14.9,11
3059943015128,אירוויק נטול גז לבנדר345,1003,אירוויק מבשם,מיליליטרים,345,0,0,14.9,77
3059943016507,מטהר ספריי לבנדר 240מל,1003,אירויק ספריי,מיליליטרים,240,0,0,10,55
308910525744,איטריות אורז ומיצ'לי454ג,604,איטריות אורז,גרמים,454,0,0,8.9,45
31290140176,שוק.מריר+שקדים סטיקס90ג,230,שוקולד גודייבה,גרמים,90,0,1,14.9,58
3141360054405,פיניש מפיץ ריח לימון,1003,מפיץ ריח למדיח,יחידה,1,0,1,16.9,55
3178530409673,עוגיות פלמיה קרמל 100גרם,775,עוגיות פלמיה קרמ,גרמים,100,0,1,11.9,3
3178530417418,דונאט שוקולד צ'יפס 180גר,774,דונאט שוקולד,גרמים,180,0,1,11.9,51
3179732348913,מים מינרלים מוגז פרייה1ל,762,פרייה מים מוגז,ליטרים,1,0,1,8.9,44
32147230,"מיץ לימון משומר 200 מ""ל",796,מיץ לימון משומר,מיליליטרים,200,0,0,6.9,69
3387390320244,דגני בוקר פיטנס+פירות375,792,דגני פיטנס,גרמים,375,0,0,19.9,12
3387390525960,קראנץ' דגני בוקר 500 גרם,792,קראנץ דגני בוקר,גרמים,500,0,0,22.9,56
3387390730852,דגני בוקר פיטנס 375 גרם,792,דגני פיטנס,גרמים,375,0,0,19.9,45
34000544028,טוויזלרס ממתק טעם תות198,96,טוויזלרס טעם תות,גרמים,198,0,0,7.9,57
3574660089547,טמפוני או בה נורמל 32 יח,363,טמפוני או בה,יחידה,1,0,0,21.9,49
3574660115154,32 טמפוני או בה סופר,363,טמפוני או בה,יחידה,1,0,0,21.9,74
3574660239829,קרם ידיים ניוטרוג'ינה 75,371,קרם ידיים קליל,מיליליטרים,75,0,0,22.9,23
3574660464337,76 קרפרי מבושם מגה פק,363,מגן תחתון קרפרי,יחידה,1,0,0,19.9,93
3574660464429,76 קרפרי אוורירי מגה פק,363,מגן תחתון קרפרי,יחידה,1,0,0,19.9,97
3574660514643,"קרם רב""ש ניוטרוג'ינה 300",372,"קרם רב""ש",מיליליטרים,300,0,0,24.9,5
3574660571769,שפתון לחות ניוטרוג'ינה,371,שפתון ניוטרוגינה,יחידה,1,0,0,22.9,35
3574661248318,מי פה ליסטרין אדוונס500מ,371,מי פה ליסטרין,מיליליטרים,500,0,1,19.9,62
3574661359885,32טמפוני או-בה פרוקומפור,371,טמפוני או-בה,יחידה,1,0,1,21.9,4
3574661392493,קרם גוף הידרו בוסט 200מל,96,קרם גוף הידרו,מיליליטרים,200,0,1,24.9,36
3574661487328,מגן תחתון קרפרי 56 יח',363,מגני תחתון קרפרי,יחידה,1,0,1,16.9,66
3574661487625,קרפרי 48מגן תחתון מקסיL,363,מגן תחתון קרפרי,יחידה,1,0,1,16.9,24
3574661487632,קרפרי מגן לארג' פלוס64יח,363,קרפרי מגני תחתון,יחידה,1,0,1,19.9,23
3574661552576,56 קרפרי מגן רגיל טנגו,363,מגני תחתון קרפרי,יחידה,1,0,1,16.9,41
3574669907682,ג'ונסון בייבי טלק 500 גר,371,טלק ג'ונסון,גרמים,500,0,1,32.9,38
3574669907781,ג'ונסון שמפו גולד 750 מל,371,ג'ונסון שמפו,מיליליטרים,750,0,1,24.9,66
3574669908481,ג'ונסון אל סבון אמבט750מ,371,ג'ונסון אל סבון,מיליליטרים,750,0,1,21.9,17
36000516876,קלינקס לושן 3 שכבות 75יח,494,קלינקס לושן,יחידה,1,0,1,9.9,89
36000516890,קלינקס לושן 3 שכבות120יח,494,קלינקס לושן,יחידה,1,0,1,14.9,93
3600523192724,לוריאל תרסיס לכיסוי 75 מ,406,לוריאל מגיק,מיליליטרים,75,0,1,29.9,99
3600523439928,מי פנים עור רגיל פרח400מ,984,מי פנים,מיליליטרים,400,0,1,29.9,17
3600523651870,שמפו אלביב ארג'ינין500מל,956,אלביב שמפו,מיליליטרים,550,0,1,15,90
3600523651900,מרכך  אלביב ארג'ינין,956,אלביב מרכך,מיליליטרים,550,0,1,15,97
3600523652242,"שמפו אלביב קולור 550 מ""ל",956,אלביב שמפו,מיליליטרים,550,0,1,15,17
3600523652259,מרכך אלביב קולור פרוטקט,956,אלביב מרכך,מיליליטרים,550,0,1,15,95
3600523652280,שמפו אלביב 6 שמנים,956,אלביב שמפו,מיליליטרים,550,0,1,15,23
3600523652297,מרכך אלביב 6 שמנים,956,אלביב מרכך,מיליליטרים,550,0,1,15,30
3600523755806,שמפו אלביב שמן קוקוס,956,שמפו אלביב,מיליליטרים,550,0,1,15,83
3600523756322,מרכך אלביב קוקוס,956,מרכך אלביב,מיליליטרים,550,0,1,15,24
3600523782567,שמפו אלביב דרים לונג500מ,956,אלביב שמפו,מיליליטרים,500,0,1,15,70
3600523782581,מרכך אלביב דרים לונג,956,אלביב מרכך,מיליליטרים,500,0,1,15,82
3600540308603,צבע לשיער קולור נטורלס 1,955,צבע לשיער גרנייה,יחידה,1,0,0,19.9,99
3600540308610,צבע שיער קולור נטורלס 3,955,צבע לשיער גרנייה,יחידה,1,0,0,19.9,51
3600540308641,צבע שיער קולור נטורלס 6,957,צבע לשיער גרנייה,יחידה,1,0,0,19.9,58
3600540308689,קולור נטורלס בלונד 10,955,צבע לשיער גרנייה,יחידה,1,0,0,19.9,37
3600540308696,צבע קולור נטורלס שחור2.1,955,צבע לשיער גרניה,יחידה,1,0,0,19.9,11
3600540308900,צבע קולור נטורלס 111,955,צבע ש.גרנייה,יחידה,1,0,0,19.9,46
3600541033399,דאו ספריי אינביזי קול,787,דאו.גרנייה,מיליליטרים,150,0,0,10,97
3600541740006,דאו ספריי אקשן קונטרול,787,דאו.גרנייה,מיליליטרים,150,0,1,10,48
3608580730248,קונפיטורת דובדבנים 370ג,276,קונפיטורת דובדבן,גרמים,370,0,1,16.9,51
3608580730255,קונפיטורת משמש 370 גרם,96,קונפיטורת משמש,גרמים,370,0,1,16.9,9
3614224051235,"דאו.אדידס A3 פרש 200 מ""ל",119,דאו.אדידס,מיליליטרים,200,0,1,13.9,94
37600207188,חמאת בוטנים קלאסי 462גרם,441,חמאת בוטנים,גרמים,462,0,0,18.5,44
37600207256,חמאת בוטנים+שברי בוטנ462,441,חמאת בוטנים,גרמים,462,0,0,18.5,38
3760032043419,"בורדו בוגרד 750 מ""ל",478,יין בורדו בוגרד,מיליליטרים,750,0,1,49.9,57
38000138638,פרינגלס פיצה 158 גרם,910,פרינגלס פיצה,גרמים,158,0,1,8.9,74
38000197840,פרינגלס חריף מתוק גלי137,911,חטיף פרינגלס,גרמים,137,0,1,8.9,99
38000202278,פרינגלס גלי ט.אוריגנל130,911,פרינגלס גלי בטעם,גרמים,130,0,1,8.9,73
3800020423578,קיט קאט צ'אנקי חלב 40גרם,760,קיט קאט צ'אנקי,גרמים,40,0,0,3.9,71
38000232152,פרינגלס ברביקיו 158 גרם,910,פרינגלס ברביקיו,גרמים,158,0,1,8.9,33
38000232169,פרינגלס מידי אורגינל67ג,910,פרינגלס אורגינל,גרמים,67,0,1,5.5,55
38000232176,פרינגלס שמנת בצל 158 גרם,910,פרינגלס שמנת בצל,גרמים,158,0,1,8.9,75
38000232183,פרינגלס אורגינל 149 גרם,910,פרינגלס אורגינל,גרמים,149,0,1,8.9,9
38000845253,פרינגלס מידי שמנת בצל71ג,910,פרינגלס שמנת בצל,גרמים,71,0,1,5.5,23
