id,name,countryid,phone_number,Email
94,(SALA  (CTS,10,0506921212,0506921212@super.student.com
95,*ג'יי.די.אי,28,0502043151,0502043151@super.student.com
96,---,57,0543528960,0543528960@super.student.com
97,.,10,0573661894,0573661894@super.student.com
98,ABBOT,7,0581815354,0581815354@super.student.com
99,ALIMENTARI CLEMME,3,0541534687,0541534687@super.student.com
100,ARDO,10,0583820875,0583820875@super.student.com
101,B.V BERGBANKET,4,0574784442,0574784442@super.student.com
102,B.V KAAS HAZELEGER,4,0542516530,0542516530@super.student.com
103,back and Snack,60,0534754105,0534754105@super.student.com
104,BAKERY JACOBSENS,37,0584679237,0584679237@super.student.com
105,BANKETGRORP DE,4,0521118570,0521118570@super.student.com
106,BAT,14,0526139700,0526139700@super.student.com
107,BE NOW,33,0587587169,0587587169@super.student.com
108,BEUKELAER DE GRRESSON,2,0587898928,0587898928@super.student.com
109,BV BISCUIT PALLY,4,0579795116,0579795116@super.student.com
110,BX.P,2,0527016859,0527016859@super.student.com
111,c coconut Theppadungporn,22,0539164282,0539164282@super.student.com
112,CA,10,0532969636,0532969636@super.student.com
113,CANDLE ITBRIGHT,33,0589944561,0589944561@super.student.com
114,CANNED QIWWEI LINYI,33,0519219930,0519219930@super.student.com
115,CANNING FRUIT KUIBURI,22,0504677638,0504677638@super.student.com
116,CHEMIPAL  FISHER (BIO,10,0585895751,0585895751@super.student.com
117,CO FOODS LIYUAN HEBEI,33,0576920539,0576920539@super.student.com
118,COCONUT THAI,22,0566428493,0566428493@super.student.com
119,COLEPCCL,26,0575856517,0575856517@super.student.com
120,d.o.o Lukowa,36,0508417401,0508417401@super.student.com
121,D.R.PROD,24,0578221976,0578221976@super.student.com
122,DB,22,0548460939,0548460939@super.student.com
123,DELICA,10,0575760070,0575760070@super.student.com
124,DEMICLEN,57,0526292889,0526292889@super.student.com
125,DEOFLOR,3,0524724263,0524724263@super.student.com
126,DIGESTIVE MCVITIES,14,0536124996,0536124996@super.student.com
127,"DPL בע""מ",10,0561856566,0561856566@super.student.com
128,EDGEWELL,18,0517149803,0517149803@super.student.com
129,EFFEFFE,3,0572137171,0572137171@super.student.com
130,Elif,14,0513258030,0513258030@super.student.com
131,energy Monster סרביה,36,0576668031,0576668031@super.student.com
132,FARMS PRESTON,18,0547370337,0547370337@super.student.com
133,FISK EKKO,37,0588024126,0588024126@super.student.com
134,FOO BRANDED BORGES,19,0585125362,0585125362@super.student.com
135,FOOD GENERAL SAPANAN,22,0537164746,0537164746@super.student.com
136,food pet united,6,0519001923,0519001923@super.student.com
137,FOODS HARVEST DEZHOU,33,0577553830,0577553830@super.student.com
138,FOODS HUIXANG JIANGSU,33,0508505473,0508505473@super.student.com
139,FOODS VIUBE,19,0513619527,0513619527@super.student.com
140,G Weihenstephan Molkerei,2,0581221754,0581221754@super.student.com
141,GERARD DR,9,0518637595,0518637595@super.student.com
142,GMBH NTX,2,0569118529,0569118529@super.student.com
143,GRUDAI KAUNO,55,0535513706,0535513706@super.student.com
144,HELLAS BEIERSDORF,19,0514693651,0514693651@super.student.com
145,HFC פרסטיג'\,2,0543556020,0543556020@super.student.com
146,HQP,33,0587321525,0587321525@super.student.com
147,INC UFO,33,0578104814,0578104814@super.student.com
148,INDUSTRY ANLIDA LONGHAI FUJIAN,33,0557097737,0557097737@super.student.com
149,JDE,10,0557913680,0557913680@super.student.com
150,JLM גלובל פודסn37\ דרך א,5,0515480306,0515480306@super.student.com
151,jti,14,0505902698,0505902698@super.student.com
152,Kaffee Melitta,2,0568828515,0568828515@super.student.com
153,KARAVELLA,31,0526617502,0526617502@super.student.com
154,KARPAI,10,0531275918,0531275918@super.student.com
155,KONSERVENFABRI BALTUSSEN,4,0509684925,0509684925@super.student.com
156,LT F.H.P.CO,33,0571530328,0571530328@super.student.com
157,LT R.E.P.CO,22,0584911904,0584911904@super.student.com
158,LTD 99 CIMA,23,0537553239,0537553239@super.student.com
159,ltd co produce Uthai,22,0539304418,0539304418@super.student.com
160,LTD T.G.C,33,0539804796,0539804796@super.student.com
161,ltdn s.k.a.tסנו מפעלי בר,33,0573551363,0573551363@super.student.com
162,LUV.N`CARE,33,0576232745,0576232745@super.student.com
